_id,premium ship amount
1000024460,16
1000024554,7
1000024680,17
1000024701,5
1000024713,12
1000024729,5
1000024833,15
1000024842,24
1000024854,27
1000024906,2
1000024928,18
1000024973,97
1000024984,1
1000025043,13
1000025101,40
1000025133,2
1000025280,59
1000025322,21
1000025323,6
1000025544,2
1000025569,5
1000025571,30
1000025587,6
1000025667,1
1000025704,13
1000025705,29
1000026501,8
1000026805,5
1000026862,12
1000026967,1
1000027002,20
1000027016,4
1000027071,6
1000027114,8
1000027156,5
1000027246,7
1000027295,5
1000027309,29
1000027319,24
1000027331,7
1000027391,7
1000027510,1
1000027527,61
1000027592,9
1000027611,4
1000027666,25
1000027689,16
1000027702,30
1000028062,10
1000028099,8
1000028157,22
1000028294,1
1000028433,16
1000028488,14
1000028522,10
1000028523,37
1000028525,54
1000028535,8
1000028544,29
1000028582,42
1000028587,11
1000028609,15
1000028676,34
1000028698,48
1000028708,11
1000028731,26
1000028755,53
1000028789,52
1000028796,46
1000028798,68
1000028835,13
1000028839,0
1000028895,7
1000028927,23
1000028975,15
1000028979,29
1000028983,40
1000029057,4
1000029059,12
1000029077,3
1000029106,10
1000029108,2
1000029185,1
1000029222,106
1000029245,1
1000029579,41
1000029778,20
1000029782,12
1000029807,20
1000029864,0
1000029993,12
1000030009,8
1000030047,40
1000030051,1
1000030086,14
1000030088,29
1000030147,2
1000030161,43
1000030185,24
1000030189,16
1000030194,1
1000030205,19
1000030263,5
1000030272,8
1000030287,5
1000030296,2
1000030327,23
1000030400,57
1000030417,55
1000030514,17
1000030633,30
1000030727,4
1000030951,2
1000031016,0
1000031156,0
1000031222,67
1000031240,0
1000031246,21
1000031254,38
1000031280,24
1000031282,30
1000031296,58
1000031348,36
1000031361,0
1000031401,22
1000031411,13
1000031430,23
1000031476,4
1000031486,17
1000031583,3
1000031609,47
1000031775,1
1000031872,9
1000032000,29
1000032048,1
1000032055,10
1000032194,53
1000032209,26
1000032236,1
1000032279,36
1000032291,38
1000032301,29
1000032311,5
1000032321,85
1000032362,22
1000032382,27
1000032392,7
1000032455,81
1000032588,24
1000032624,32
1000032831,45
1000033083,24
1000033096,38
1000033133,46
1000033141,4
1000033146,42
1000033157,58
1000033162,27
1000033181,6
1000033196,16
1000033254,56
1000033538,27
1000033608,16
1000033612,2
1000033899,34
1000034086,11
1000034148,36
1000034233,19
1000034308,8
1000034312,21
1000034376,43
1000034384,11
1000034389,64
1000034410,4
1000034482,7
1000034672,21
1000034685,48
1000034855,2
1000035070,8
1000035155,28
1000035188,0
1000035194,63
1000035286,20
1000035319,4
1000035488,106
1000035489,2
1000035528,58
1000035529,25
1000035603,20
1000035637,2
1000035666,6
1000035667,13
1000035809,52
1000035874,9
1000035889,6
1000035957,39
1000035961,8
1000035963,22
1000035995,0
1000036024,19
1000036041,7
1000036118,20
1000036130,3
1000036131,46
1000036326,81
1000036492,18
1000036757,0
1000036768,6
1000036815,4
1000036926,4
1000037006,9
1000037054,36
1000037073,24
1000037135,8
1000037141,39
1000037187,2
1000037207,44
1000037213,14
1000037231,10
1000037232,61
1000037242,14
1000037275,13
1000037560,11
1000037720,24
1000037747,50
1000037778,10
1000037895,2
1000037976,41
1000038077,8
1000038498,54
1000038591,2
1000038689,2
1000038714,35
1000038776,16
1000038781,63
1000038783,15
1000038841,10
1000038951,22
1000038961,4
1000038969,1
1000039139,50
1000039147,8
1000039279,1
1000039310,24
1000039379,1
1000039675,10
1000039897,6
1000039908,114
1000039956,2
1000039961,18
1000039990,7
1000040004,6
1000040020,101
1000040053,29
1000040065,6
1000040111,12
1000040113,0
1000040319,12
1000040339,1
1000040437,7
1000040519,10
1000040572,4
1000040604,44
1000040630,4
1000040638,49
1000040640,10
1000040728,11
1000040780,40
1000040807,5
1000040850,2
1000040901,6
1000040947,19
1000041051,15
1000041056,3
1000041180,5
1000041190,3
1000041214,32
1000041278,6
1000041283,42
1000041302,10
1000041319,44
1000041337,51
1000041357,4
1000041526,19
1000041576,8
1000041766,6
1000041849,107
1000042087,9
1000042130,10
1000042229,15
1000042508,53
1000042543,5
1000042556,11
1000042642,11
1000042658,3
1000042675,42
1000042721,20
1000042751,15
1000042763,9
1000042798,14
1000042808,24
1000042815,23
1000042823,27
1000042888,31
1000042987,13
1000043307,8
1000043648,36
1000043706,5
1000043760,1
1000043843,12
1000043900,6
1000043938,2
1000043943,15
1000043956,9
1000043986,12
1000044173,74
1000044385,3
1000044433,9
1000044532,29
1000044566,19
1000044633,17
1000044638,17
1000044785,15
1000044933,0
1000044975,4
1000044977,34
1000044979,31
1000044984,17
1000045048,0
1000045592,7
1000045754,11
1000045760,21
1000045940,9
1000045958,37
1000045970,28
1000045978,2
1000045983,36
1000045994,20
1000046013,17
1000046036,1
1000046210,12
1000046213,94
1000046304,4
1000046432,60
1000046587,12
1000046606,6
1000046625,4
1000046818,14
1000046852,2
1000047007,17
1000047037,11
1000047150,51
1000047163,35
1000047210,16
1000047246,7
1000047289,3
1000047301,14
1000047359,4
1000047366,34
1000047407,4
1000048222,110
1000048377,27
1000049135,2
1000049230,44
1000049334,6
1000049385,19
1000049386,20
1000049414,102
1000049456,91
1000049542,2
1000049545,15
1000049548,22
1000050008,13
1000050158,14
1000050468,31
1000050549,1
1000050605,22
1000050820,5
1000050909,7
1000050916,20
1000050923,9
1000050942,10
1000050992,7
1000051005,4
1000051059,3
1000051082,25
1000051095,36
1000051488,9
1000051495,0
1000051618,11
1000051720,31
1000051728,9
1000051757,11
1000051809,4
1000052236,4
1000052240,15
1000052311,30
1000052426,5
1000052456,2
1000052463,27
1000052481,33
1000052502,26
1000052683,36
1000052959,7
1000053447,33
1000053463,3
1000053468,41
1000053478,7
1000053557,18
1000053561,53
1000053598,76
1000053618,20
1000053620,19
1000053640,6
1000053651,1
1000053672,66
1000053678,8
1000053682,55
1000053823,11
1000054106,6
1000054405,2
1000054446,61
1000054466,47
1000054510,29
1000054532,38
1000054593,12
1000054701,2
1000054710,6
1000054713,13
1000054723,63
1000054728,14
1000054737,45
1000054751,4
1000054755,59
1000054812,34
1000054842,3
1000054848,31
1000055112,14
1000055175,95
1000055333,29
1000055403,21
1000055577,49
1000055594,5
1000055654,13
1000055656,12
1000055699,9
1000055842,26
1000055896,69
1000055898,5
1000055928,13
1000055933,0
1000055944,49
1000055947,9
1000056044,21
1000056101,12
1000056200,3
1000056437,5
1000056493,54
1000056577,5
1000056693,6
1000056710,15
1000056778,24
1000056862,52
1000057139,2
1000057183,68
1000057185,14
1000057199,24
1000057435,8
1000057502,1
1000057594,23
1000057938,39
1000058036,20
1000058120,1
1000058163,55
1000058175,47
1000058341,53
1000058420,5
1000058477,23
1000058916,5
1000059232,18
1000059480,12
1000059669,4
1000059693,16
1000059710,42
1000059783,45
1000059798,4
1000059883,22
1000059892,13
1000059904,3
1000059958,36
1000059978,11
1000059987,34
1000060262,16
1000060314,37
1000060382,44
1000060426,5
1000060441,48
1000060449,68
1000060464,26
1000060539,36
1000060572,5
1000060592,24
1000060606,23
1000060676,12
1000060915,3
1000061119,5
1000061142,18
1000061159,9
1000061168,7
1000061347,12
1000061355,4
1000061432,1
1000061441,15
1000061474,2
1000061485,4
1000061497,4
1000061499,12
1000061505,10
1000061538,4
1000061941,34
1000061997,19
1000062074,6
1000062198,4
1000062200,21
1000062334,38
1000062410,5
1000062513,31
1000062548,12
1000062558,22
1000062630,4
1000063078,103
1000063154,24
1000063251,3
1000063389,16
1000063451,2
1000063467,7
1000063488,26
1000063637,1
1000063653,23
1000063882,23
1000064032,8
1000064061,10
1000064132,16
1000064383,41
1000064443,43
1000064446,12
1000064482,30
1000064522,12
1000064540,10
1000064555,14
1000064563,44
1000064591,43
1000064638,40
1000064655,75
1000064726,14
1000065234,5
1000065551,4
1000065640,31
1000065733,14
1000065782,38
1000065830,39
1000065834,0
1000065940,8
1000066130,19
1000066285,5
1000066337,21
1000066422,5
1000066699,10
1000066702,19
1000066777,7
1000066800,41
1000066828,12
1000066829,41
1000066850,18
1000066863,12
1000067188,4
1000067287,27
1000067377,4
1000067478,14
1000067508,8
1000067568,11
1000067601,9
1000067611,16
1000067620,17
1000067782,46
1000067830,6
1000067860,35
1000067969,2
1000068014,8
1000068183,69
1000068225,20
1000068247,34
1000068290,48
1000068464,6
1000068633,7
1000068699,14
1000068702,21
1000068761,17
1000068785,7
1000068788,19
1000068792,12
1000068929,91
1000069053,6
1000069067,72
1000069312,21
1000069401,2
1000069450,9
1000069517,36
1000069553,2
1000069856,22
1000069965,88
1000069971,48
1000070001,26
1000070017,15
1000070022,11
1000070046,11
1000070083,4
1000070236,38
1000070670,44
1000070699,38
1000070749,6
1000070792,8
1000070899,15
1000071005,0
1000071019,5
1000071189,24
1000071311,28
1000071316,3
1000071354,20
1000071395,29
1000071410,6
1000071610,3
1000071629,6
1000071738,21
1000071747,51
1000071750,1
1000071768,21
1000071772,6
1000072000,4
1000072030,1
1000072266,7
1000072462,15
1000072469,98
1000072490,7
1000072818,5
1000072884,82
1000072983,9
1000073153,48
1000073157,12
1000073352,3
1000073480,72
1000073493,19
1000073529,38
1000073634,5
1000073732,15
1000073770,6
1000073776,2
1000073966,11
1000074151,12
1000074253,1
1000074275,64
1000074285,1
1000074405,52
1000074471,22
1000074495,7
1000074561,49
1000074564,7
1000074775,17
1000074821,0
1000075064,67
1000075147,24
1000075223,0
1000075279,25
1000075345,16
1000075403,16
1000075452,10
1000075522,2
1000075566,81
1000075567,1
1000075637,2
1000075655,8
1000075723,4
1000075740,19
1000075742,23
1000075760,9
1000075769,1
1000075795,7
1000075819,6
1000075824,40
1000075914,4
1000075929,33
1000075976,25
1000075985,11
1000076013,17
1000076035,5
1000076075,8
1000076127,36
1000076185,10
1000076200,5
1000076262,18
1000076293,34
1000076324,18
1000076335,6
1000076342,93
1000076383,19
1000076387,29
1000076398,4
1000076431,7
1000076432,7
1000076488,2
1000076505,13
1000076522,27
1000076579,9
1000076612,25
1000076645,7
1000076663,16
1000076677,17
1000076707,4
1000076750,17
1000076781,2
1000076875,94
1000076976,7
1000077082,6
1000077097,20
1000077229,10
1000077268,11
1000077307,11
1000077355,4
1000077465,12
1000077509,44
1000077527,13
1000077560,37
1000077628,48
1000077673,6
1000077846,17
1000077987,8
1000078124,10
1000078184,8
1000078414,10
1000078580,13
1000078800,8
1000079205,2
1000079220,7
1000079260,27
1000079282,34
1000079311,15
1000079340,16
1000079352,43
1000079360,70
1000079366,13
1000079441,11
1000079624,1
1000080084,4
1000080126,25
1000080378,42
1000080408,5
1000080463,2
1000080515,14
1000080613,28
1000080707,36
1000080725,3
1000080731,22
1000080750,7
1000080760,36
1000080793,4
1000080807,70
1000080873,45
1000080971,56
1000080980,7
1000081110,28
1000081500,9
1000081538,14
1000081676,12
1000081727,12
1000081774,10
1000081778,29
1000081830,3
1000081845,27
1000081927,60
1000081931,3
1000081966,67
1000081998,4
1000082020,75
1000082189,16
1000082306,3
1000082558,11
1000082863,24
1000082926,2
1000082970,84
1000083025,30
1000083097,14
1000083296,26
1000083634,51
1000083731,33
1000083742,12
1000083751,5
1000083773,7
1000083892,15
1000084183,19
1000084188,13
1000084422,2
1000084747,4
1000084854,3
1000084858,4
1000084887,6
1000084893,12
1000085012,20
1000085023,4
1000085114,11
1000085154,6
1000085177,15
1000085239,7
1000085252,60
1000085268,39
1000085391,41
1000085857,24
1000085880,6
1000085884,9
1000085947,99
1000086048,11
1000086139,28
1000086244,4
1000086267,12
1000086331,14
1000086482,12
1000086553,61
1000086651,5
1000086701,21
1000086795,10
1000086927,2
1000086938,13
1000087184,29
1000087239,24
1000087329,22
1000087342,26
1000087445,4
1000087487,16
1000087501,27
1000087507,3
1000087546,27
1000087584,31
1000087643,16
1000087796,17
1000087820,11
1000087953,26
1000088035,30
1000088108,2
1000088128,4
1000088201,2
1000088230,11
1000088303,31
1000088479,2
1000088505,7
1000088624,52
1000088670,5
1000088722,24
1000088764,23
1000088800,81
1000088899,9
1000089059,74
1000089139,4
1000089429,11
1000089492,1
1000089495,41
1000089652,7
1000089688,36
1000089715,25
1000089729,19
1000089780,12
1000089808,1
1000089855,74
1000089919,24
1000089934,40
1000089952,7
1000089978,15
1000089993,7
1000090007,10
1000090090,2
1000090157,20
1000090185,24
1000090478,9
1000090745,25
1000090952,18
1000090972,3
1000090990,18
1000091081,31
1000091207,13
1000091214,7
1000091230,1
1000091328,6
1000091393,31
1000091402,14
1000091495,21
1000091740,76
1000091793,17
1000091797,31
1000091827,11
1000091844,8
1000091982,15
1000092114,17
1000092593,32
1000092695,10
1000092730,12
1000092835,36
1000092855,65
1000092917,5
1000092925,12
1000092931,6
1000092939,19
1000092945,52
1000093019,22
1000093027,3
1000093048,8
1000093068,53
1000093135,2
1000093167,84
1000093190,39
1000093218,5
1000093256,23
1000093262,2
1000093475,17
1000093515,7
1000093595,7
1000093835,0
1000093951,53
1000094070,9
1000094117,30
1000094202,18
1000094315,1
1000094336,11
1000094349,13
1000094351,91
1000094372,85
1000094424,3
1000094438,17
1000094527,16
1000094877,52
1000095014,22
1000095286,25
1000095437,5
1000095454,24
1000095527,26
1000095660,30
1000095823,9
1000095852,8
1000095872,4
1000095923,2
1000095926,5
1000095971,64
1000096101,114
1000096124,19
1000096153,44
1000096155,32
1000096163,28
1000096189,3
1000096192,3
1000096199,11
1000096212,44
1000096232,1
1000096303,6
1000096498,20
1000096546,13
1000096719,31
1000097101,22
1000097315,42
1000097380,20
1000097382,15
1000097524,8
1000097777,10
1000097858,7
1000097929,19
1000098061,19
1000098068,22
1000098085,22
1000098152,20
1000098209,10
1000098294,17
1000098362,1
1000098421,19
1000098469,6
1000098470,12
1000098533,20
1000098702,30
1000098771,9
1000098796,12
1000098840,21
1000098927,17
1000099309,22
1000099356,3
1000099502,17
1000099540,23
1000099640,5
1000099681,13
1000099760,1
1000099831,19
1000099856,25
1000099864,62
1000100001,12
1000100024,46
1000100095,3
1000100149,6
1000100184,6
1000100186,11
1000100187,12
1000100245,7
1000100252,4
1000100281,21
1000100336,13
1000100346,71
1000100347,8
1000100351,6
1000100405,11
1000100477,14
1000100485,7
1000100493,13
1000100526,5
1000100550,15
1000100570,4
1000100596,54
1000100619,19
1000100664,6
1000100741,3
1000100784,15
1000100790,47
1000100808,2
1000100826,23
1000100850,14
1000100868,21
1000100871,3
1000100893,54
1000100931,25
1000101006,4
1000101053,14
1000101172,47
1000101276,6
1000101578,42
1000101588,7
1000101839,15
1000102034,6
1000102063,18
1000102073,19
1000102148,11
1000102244,26
1000102301,26
1000102562,0
1000102622,38
1000102664,23
1000102670,26
1000102977,3
1000103040,12
1000103055,14
1000103111,8
1000103266,7
1000103523,62
1000103648,24
1000103664,27
1000103763,4
1000103915,55
1000103934,45
1000104066,32
1000104071,24
1000104228,3
1000104267,25
1000104284,44
1000104304,9
1000104385,0
1000104391,10
1000104400,59
1000104479,38
1000104517,9
1000104551,5
1000104874,10
1000104888,5
1000104901,11
1000104949,13
1000105051,61
1000105054,31
1000105144,46
1000105301,8
1000105420,16
1000105519,64
1000105595,4
1000105597,6
1000105635,1
1000105652,8
1000105672,13
1000105690,11
1000105704,48
1000106031,19
1000106045,15
1000106305,27
1000106337,8
1000106562,85
1000106575,4
1000106651,22
1000106666,5
1000106677,5
1000106702,5
1000106813,47
1000106900,4
1000107677,7
1000107694,10
1000107695,7
1000107769,9
1000108159,3
1000108489,33
1000108519,25
1000108541,17
1000108563,20
1000108592,7
1000108635,6
1000108757,1
1000108841,14
1000108862,28
1000108866,29
1000108952,20
1000108988,1
1000109124,4
1000109217,0
1000109248,20
1000109361,28
1000109451,25
1000109606,26
1000110166,12
1000110229,0
1000110292,16
1000110392,30
1000110496,13
1000110507,36
1000110642,3
1000110731,3
1000110768,8
1000110939,9
1000111043,2
1000111160,22
1000111460,5
1000111464,23
1000111575,8
1000111591,10
1000111611,28
1000111718,14
1000112170,18
1000112438,12
1000112450,123
1000112477,26
1000112620,24
1000113028,36
1000113064,49
1000113111,23
1000113510,1
1000113552,27
1000113563,1
1000113566,15
1000113614,25
1000113617,21
1000113946,8
1000113974,16
1000114066,6
1000114165,9
1000114250,1
1000114566,13
1000114575,71
1000114733,15
1000114917,16
1000115183,2
1000115477,9
1000115560,6
1000115573,10
1000115699,54
1000115768,13
1000115837,55
1000115861,32
1000115896,10
1000115902,9
1000116057,4
1000116503,2
1000116560,14
1000116599,4
1000116619,14
1000116674,11
1000116675,17
1000116713,3
1000116835,22
1000116993,61
1000117192,8
1000117200,3
1000117287,60
1000117297,32
1000117360,100
1000117636,39
1000117942,9
1000118051,1
1000118098,3
1000118175,31
1000118193,73
1000118198,13
1000118322,6
1000118417,2
1000118433,6
1000118447,38
1000118558,25
1000118682,2
1000118742,10
1000119042,6
1000119069,5
1000119085,17
1000119103,8
1000119105,14
1000119131,106
1000119160,75
1000119204,40
1000119221,1
1000119248,47
1000119269,1
1000119276,8
1000119288,2
1000119297,9
1000119300,18
1000119315,3
1000119319,7
1000119335,28
1000119381,2
1000119413,59
1000119480,28
1000119541,6
1000119578,22
1000119580,4
1000119686,3
1000119762,12
1000120035,5
1000120240,1
1000120252,60
1000120275,14
1000120430,1
1000120459,4
1000120503,16
1000120544,10
1000120665,3
1000120797,40
1000120845,5
1000121041,34
1000121081,39
1000121118,13
1000121152,2
1000121187,1
1000121194,6
1000121216,20
1000121282,10
1000121293,11
1000121383,14
1000121478,56
1000121581,22
1000121690,26
1000121750,6
1000121993,1
1000122063,94
1000122074,8
1000122170,50
1000122193,47
1000122303,9
1000122351,7
1000122357,27
1000122537,27
1000122596,14
1000122646,2
1000122672,20
1000122759,70
1000122895,14
1000122903,31
1000123036,12
1000123044,14
1000123065,2
1000123087,9
1000123135,15
1000123178,5
1000123236,13
1000123279,1
1000123350,14
1000123507,35
1000123627,22
1000124009,1
1000124042,9
1000124130,4
1000124183,17
1000124454,16
1000124515,18
1000124564,13
1000124574,22
1000124577,39
1000124587,51
1000124598,16
1000124611,13
1000124675,23
1000124681,27
1000124740,19
1000124757,8
1000124835,6
1000125179,3
1000125223,2
1000125377,7
1000125417,9
1000125418,68
1000125430,3
1000125473,15
1000125507,5
1000125610,36
1000125770,7
1000125784,7
1000125822,27
1000125968,17
1000126004,42
1000126112,12
1000126553,48
1000126741,8
1000126848,6
1000126879,11
1000126914,3
1000127020,12
1000127051,30
1000127106,48
1000127136,4
1000127161,9
1000127173,0
1000127183,4
1000127312,65
1000127379,16
1000127400,53
1000127426,0
1000127727,43
1000128040,31
1000128135,1
1000128438,7
1000128513,4
1000128529,13
1000128583,12
1000128667,0
1000128774,22
1000128783,18
1000128882,7
1000128987,17
1000129035,2
1000129050,33
1000129137,2
1000129183,28
1000129186,8
1000129238,18
1000129270,9
1000129306,35
1000129312,39
1000129354,6
1000129379,40
1000129715,19
1000130247,9
1000130434,13
1000130615,41
1000130640,6
1000130696,18
1000130698,75
1000130704,6
1000130825,12
1000130860,14
1000130916,9
1000130966,11
1000131309,5
1000131370,0
1000131469,11
1000131478,30
1000131541,57
1000131641,18
1000131788,7
1000132060,4
1000132149,12
1000132183,13
1000132212,59
1000132237,14
1000132241,18
1000132247,33
1000132259,21
1000132283,17
1000132310,4
1000132329,32
1000132371,0
1000132412,23
1000132417,6
1000132517,27
1000132875,5
1000132919,27
1000133104,1
1000133297,8
1000133532,11
1000133574,22
1000133653,2
1000133670,3
1000133990,24
1000134032,0
1000134211,28
1000134462,0
1000134516,12
1000134599,137
1000134752,10
1000134806,4
1000135055,15
1000135085,60
1000135119,13
1000135144,10
1000135155,3
1000135250,28
1000135254,13
1000135735,16
1000135893,16
1000135972,4
1000136053,13
1000136057,24
1000136062,11
1000136128,32
1000136130,59
1000136140,43
1000136510,8
1000136900,6
1000136977,8
1000137049,13
1000137214,16
1000137304,32
1000137634,8
1000138019,33
1000138377,42
1000138468,11
1000138520,8
1000138711,24
1000138725,20
1000138765,4
1000138776,22
1000138860,82
1000138884,3
1000138895,2
1000138908,1
1000138970,4
1000138978,30
1000139010,3
1000139184,18
1000139226,0
1000139463,11
1000139473,6
1000139499,31
1000139525,17
1000139850,9
1000139998,2
1000140022,22
1000140108,44
1000140174,8
1000140203,7
1000140226,8
1000140256,57
1000140303,10
1000140332,16
1000140423,6
1000140500,18
1000140616,13
1000140691,8
1000140692,29
1000140905,33
1000141019,0
1000141072,70
1000141121,7
1000141165,3
1000141278,56
1000141305,15
1000141343,1
1000141379,29
1000141394,47
1000141400,22
1000141414,11
1000141430,68
1000141448,4
1000141496,38
1000141755,68
1000142015,4
1000142042,3
1000142137,72
1000142600,0
1000142663,26
1000142737,26
1000142748,20
1000143253,18
1000143355,2
1000143390,17
1000143456,34
1000143477,18
1000143487,7
1000143514,53
1000143645,33
1000143701,8
1000143734,1
1000143810,9
1000143900,10
1000144054,12
1000144065,8
1000144139,13
1000144310,54
1000144730,6
1000144838,17
1000144879,4
1000144935,10
1000145127,6
1000145361,0
1000145374,16
1000145413,21
1000145551,32
1000145686,36
1000145689,6
1000145829,7
1000145843,6
1000145851,8
1000145861,108
1000145956,0
1000146095,4
1000146143,2
1000146163,32
1000146181,12
1000146230,3
1000146270,25
1000146344,41
1000146495,1
1000146525,2
1000146757,1
1000146808,62
1000146919,99
1000146999,7
1000147116,13
1000147206,80
1000147235,29
1000147289,25
1000147395,7
1000147410,6
1000147437,19
1000147496,18
1000147513,19
1000147704,2
1000147767,29
1000148333,3
1000148803,12
1000148920,36
1000148954,11
1000149063,11
1000149177,62
1000149354,4
1000149461,7
1000149490,18
1000149491,7
1000149609,1
1000149643,36
1000149676,8
1000150000,1
1000150180,18
1000150504,5
1000150614,6
1000150655,14
1000150711,31
1000150738,30
1000150755,25
1000150801,69
1000150818,44
1000150904,4
1000151381,0
1000151467,25
1000151775,54
1000151814,17
1000151851,6
1000151913,2
1000151956,1
1000152436,19
1000152512,40
1000152534,7
1000152613,16
1000152615,4
1000152620,9
1000152626,2
1000152649,4
1000152768,23
1000152900,92
1000152918,23
1000152937,15
1000153015,16
1000153046,18
1000153072,14
1000153466,9
1000153589,5
1000153619,35
1000153802,8
1000153846,49
1000154024,16
1000154076,15
1000154115,39
1000154203,21
1000154267,27
1000154393,2
1000154518,6
1000154551,14
1000154566,4
1000154575,3
1000154629,11
1000154696,48
1000154773,7
1000154874,35
1000154882,26
1000154941,10
1000155045,10
1000155153,1
1000155158,15
1000155336,1
1000155551,58
1000155638,20
1000155648,17
1000155740,12
1000155833,43
1000155948,10
1000156020,1
1000156067,0
1000156611,1
1000156819,70
1000156983,14
1000157060,68
1000157063,10
1000157171,2
1000157252,13
1000157294,13
1000157308,9
1000157385,3
1000157429,7
1000157446,39
1000157452,3
1000157686,20
1000157977,36
1000158008,8
1000158211,47
1000158528,2
1000158635,13
1000158646,1
1000158657,16
1000158775,9
1000159152,26
1000159261,1
1000159367,32
1000159458,28
1000159602,33
1000159653,14
1000159783,27
1000159924,12
1000160271,11
1000160333,37
1000160343,6
1000160366,49
1000160371,1
1000160615,2
1000160697,47
1000160837,11
1000160879,1
1000161300,2
1000161491,68
1000161842,65
1000161917,2
1000162037,1
1000162070,31
1000162078,23
