_id,overall_stats.avg_battle_values.avg_tier
1000013515,6.7
1000013609,7
1000013615,8.6
1000013618,5
1000013703,5.9
1000013812,5.5
1000013857,6
1000013861,7.6
1000013923,5.2
1000013949,5.1
1000013991,4.8
1000014051,5.3
1000014100,6.8
1000014214,6.5
1000014547,6.4
1000014660,5.3
1000014789,4.8
1000015034,5.3
1000015063,6.9
1000015090,6.1
1000015100,5.4
1000015107,6
1000015116,7.3
1000015143,7.3
1000015185,8.7
1000015196,5.8
1000015224,6.5
1000015232,7.5
1000015241,6.2
1000015338,6.1
1000015375,7.3
1000015443,7
1000015682,7
1000015847,6.6
1000015920,7.5
1000015932,7.8
1000015966,6.7
1000016057,6.2
1000016181,7.1
1000016211,7.2
1000016289,6.9
1000016365,7.1
1000016469,7
1000016502,5.9
1000016589,7.3
1000016590,6.8
1000016606,7.6
1000016632,5
1000016655,7.1
1000016709,5.6
1000016715,6.6
1000016743,6.6
1000016850,7.9
1000016999,8.1
1000017066,5.6
1000017078,8.1
1000017117,6.1
1000017138,5.4
1000017174,6.5
1000017196,6
1000017321,5.9
1000017340,6.3
1000017351,3.6
1000017391,7
1000017433,8.3
1000017461,7.4
1000017474,5.8
1000017493,4
1000017565,6.3
1000017659,6.7
1000017812,5.8
1000018109,8.1
1000018239,6.3
1000018262,6.3
1000018355,5.8
1000018584,7.2
1000018878,5.3
1000019001,5.2
1000019232,5.5
1000019495,4.9
1000019500,3.8
1000019584,4.9
1000019884,6.6
1000019945,6
1000019971,5.3
1000019996,4.8
1000020000,5.3
1000020024,6.7
1000020052,7.4
1000020062,6.4
1000020073,4.8
1000020088,5.1
1000020141,6
1000020182,7.8
1000020189,7.1
1000020266,6.4
1000020325,4.5
1000020371,7.2
1000020390,6.1
1000020410,4.6
1000020936,7.7
1000021104,5.5
1000021105,6.8
1000021197,7.1
1000021317,3.2
1000021422,8.1
1000021430,7.4
1000021522,6
1000021542,7.3
1000021579,7.5
1000021621,6.2
1000021654,5
1000021657,4.9
1000021676,6.4
1000021802,4.9
1000021880,6.5
1000021920,6
1000021956,8.4
1000022183,6.4
1000022223,6.6
1000022351,7.2
1000022405,6.7
1000022462,5.5
1000022491,6.6
1000022525,3.9
1000022599,7.8
1000022611,5.7
1000022660,6.4
1000022681,7.5
1000022720,6.9
1000022728,8.3
1000022880,6.8
1000022896,5.3
1000022934,4.8
1000022955,4.4
1000022968,6.8
1000023029,5.9
1000023058,4.8
1000023236,6.1
1000023301,5.4
1000023357,5.8
1000023430,7.1
1000023465,4.8
1000023585,5.8
1000023600,7
1000023674,6.6
1000024260,6.3
1000024369,4.2
1000024392,6
1000024450,6.4
1000024460,6.7
1000024554,5
1000024680,7.4
1000024701,4.7
1000024713,5.5
1000024729,5.8
1000024833,7.2
1000024842,7.9
1000024854,6.1
1000024906,4.5
1000024928,7
1000024973,8.1
1000024984,5
1000025043,9.1
1000025101,6
1000025133,6.5
1000025280,7
1000025322,6.3
1000025323,7.1
1000025544,4.5
1000025569,8.2
1000025571,7.1
1000025587,5.3
1000025667,5.2
1000025704,7.2
1000025705,6
1000026501,5.4
1000026805,5.6
1000026862,6.3
1000026967,6.1
1000027002,5.1
1000027016,7.6
1000027071,4.2
1000027114,6
1000027156,5.7
1000027246,7.2
1000027295,4.1
1000027309,6.6
1000027319,5.4
1000027331,5.7
1000027391,5.4
1000027510,3.4
1000027527,6.6
1000027592,5.9
1000027611,4.3
1000027666,8.2
1000027689,8
1000027702,6.2
1000028062,5.6
1000028099,6.4
1000028157,6.9
1000028294,4.2
1000028433,8.1
1000028488,6.4
1000028522,6.6
1000028523,6.1
1000028525,7.3
1000028535,5.5
1000028544,6.7
1000028582,7.8
1000028587,5.6
1000028609,5.6
1000028676,6.1
1000028698,5.8
1000028708,5.5
1000028731,6.5
1000028755,6.8
1000028789,7
1000028796,7
1000028798,7.4
1000028835,7.3
1000028839,5.8
1000028895,6.5
1000028927,5.7
1000028975,6
1000028979,5.7
1000028983,5.7
1000029057,3.8
1000029059,5.9
1000029077,4
1000029106,7.2
1000029108,3.6
1000029185,7.3
1000029222,7.4
1000029245,4.1
1000029579,6.1
1000029778,6
1000029782,8.2
1000029807,5.8
1000029864,4.8
1000029993,7
1000030009,6.1
1000030047,6.9
1000030051,4.1
1000030086,5.7
1000030088,7.7
1000030147,6.9
1000030161,7.4
1000030185,7
1000030189,6.7
1000030194,5.5
1000030205,7.7
1000030263,6.3
1000030272,7.1
1000030287,7.6
1000030296,5.2
1000030327,6.6
1000030400,7
1000030417,7.7
1000030514,7.3
1000030633,7.4
1000030727,6.7
1000030951,3.5
1000031016,5.9
1000031156,3.8
1000031222,6.3
1000031240,3.8
1000031246,7.1
1000031254,6.2
1000031280,6.9
1000031282,7
1000031296,7
1000031348,6.3
1000031361,3.8
1000031401,6.9
1000031411,5.2
1000031430,6.4
1000031476,5.3
1000031486,7.5
1000031583,4.6
1000031609,6.7
1000031775,3.8
1000031872,5
1000032000,6.6
1000032048,3.4
1000032055,7.5
1000032194,6.3
1000032209,7.5
1000032236,2.7
1000032279,4.8
1000032291,7
1000032301,6.3
1000032311,4
1000032321,6.6
1000032362,6
1000032382,6
1000032392,3.9
1000032455,6.9
1000032588,7.2
1000032624,6.5
1000032831,7.1
1000033083,5.4
1000033096,7
1000033133,8.3
1000033141,4.7
1000033146,8
1000033157,7.8
1000033162,5.5
1000033181,5.7
1000033196,7.1
1000033254,7.4
1000033538,6.2
1000033608,7.4
1000033612,4
1000033899,6.5
1000034086,5.8
1000034148,6.9
1000034233,5
1000034308,7
1000034312,7.4
1000034376,6.9
1000034384,6.2
1000034389,7.3
1000034410,7.4
1000034482,5.8
1000034672,6.9
1000034685,7.9
1000034855,7.8
1000035070,5.8
1000035155,6.6
1000035188,3.5
1000035194,7
1000035286,6.1
1000035319,5.2
1000035488,7
1000035489,4.4
1000035528,6.9
1000035529,6
1000035603,6.5
1000035637,5.8
1000035666,5.5
1000035667,7.1
1000035809,7.2
1000035874,6.3
1000035889,5.3
1000035957,6.6
1000035961,4.9
1000035963,6.6
1000035995,5.8
1000036024,6.2
1000036041,6.2
1000036118,7.6
1000036130,4.6
1000036131,7.7
1000036326,7.9
1000036492,6.3
1000036757,4.1
1000036768,4.6
1000036815,5.3
1000036926,6.4
1000037006,7.9
1000037054,7.5
1000037073,6
1000037135,8.2
1000037141,7
1000037187,4.9
1000037207,7.2
1000037213,7.5
1000037231,7.3
1000037232,8.9
1000037242,6.5
1000037275,5.6
1000037560,5.4
1000037720,7.4
1000037747,7.1
1000037778,6.4
1000037895,4.9
1000037976,7
1000038077,5.7
1000038498,7.8
1000038591,5.1
1000038689,4.3
1000038714,4.7
1000038776,9.4
1000038781,7.1
1000038783,6.3
1000038841,6.5
1000038951,6.5
1000038961,4.7
1000038969,3.4
1000039139,6.8
1000039147,6.1
1000039279,3.6
1000039310,5.9
1000039379,4.4
1000039675,5.5
1000039897,5.9
1000039908,6.9
1000039956,5.5
1000039961,6.1
1000039990,6.9
1000040004,5.8
1000040020,7
1000040053,7.1
1000040065,5.4
1000040111,7.2
1000040113,6.8
1000040319,6.1
1000040339,5.5
1000040437,7.4
1000040519,6.2
1000040572,4.7
1000040604,5.8
1000040630,5.9
1000040638,6.4
1000040640,6.3
1000040728,5.7
1000040780,6.6
1000040807,6.3
1000040850,4
1000040901,3.6
1000040947,7.4
1000041051,5.5
1000041056,6.2
1000041180,6.1
1000041190,3.8
1000041214,7.9
1000041278,5.4
1000041283,6.7
1000041302,5.7
1000041319,5.4
1000041337,6.9
1000041357,5.1
1000041526,5.7
1000041576,6
1000041766,6.8
1000041849,6.8
1000042087,4.9
1000042130,4.9
1000042229,6.6
1000042508,6.9
1000042543,6.3
1000042556,6.4
1000042642,6.3
1000042658,4
1000042675,6.5
1000042721,8
1000042751,5.9
1000042763,5.7
1000042798,5.6
1000042808,6.7
1000042815,7.1
1000042823,6.4
1000042888,7.4
1000042987,5.4
1000043307,6.1
1000043648,6.5
1000043706,7.7
1000043760,3.2
1000043843,6.4
1000043900,6.7
1000043938,6
1000043943,7.2
1000043956,6.1
1000043986,6.5
1000044173,8.7
1000044385,6.3
1000044433,6.9
1000044532,5.7
1000044566,5.9
1000044633,7.4
1000044638,7.3
1000044785,5.5
1000044933,4
1000044975,5.2
1000044977,7.4
1000044979,5.8
1000044984,5.8
1000045048,4.6
1000045592,7.1
1000045754,4.1
1000045760,6.5
1000045940,5.3
1000045958,6.1
1000045970,6.9
1000045978,6.6
1000045983,5.7
1000045994,6.3
1000046013,6.1
1000046036,4.7
1000046210,6.3
1000046213,6.6
1000046304,5.7
1000046432,7.5
1000046587,6.9
1000046606,5.4
1000046625,7.3
1000046818,7.9
1000046852,4.9
1000047007,7
1000047037,6.8
1000047150,7.5
1000047163,6.9
1000047210,7.9
1000047246,5.8
1000047289,6.5
1000047301,6.1
1000047359,5.6
1000047366,7.1
1000047407,4.6
1000048222,7.1
1000048377,5
1000049135,5.4
1000049230,7.8
1000049334,6.2
1000049385,6.7
1000049386,5.7
1000049414,6.8
1000049456,6.2
1000049542,3.9
1000049545,7
1000049548,6
1000050008,5
1000050158,8
1000050468,5.7
1000050549,5.7
1000050605,7.3
1000050820,6.7
1000050909,6.5
1000050916,5.2
1000050923,6.9
1000050942,6.9
1000050992,5.2
1000051005,5
1000051059,4.8
1000051082,5.7
1000051095,7.5
1000051488,4.9
1000051495,3.3
1000051618,7.1
1000051720,5.7
1000051728,5.8
1000051757,6.1
1000051809,6.2
1000052236,5.1
1000052240,4.5
1000052311,7.1
1000052426,5.9
1000052456,3.7
1000052463,5.6
1000052481,7.4
1000052502,7.4
1000052683,7.7
1000052959,5
1000053447,7
1000053463,4.8
1000053468,6.8
1000053478,4.3
1000053557,5.3
1000053561,8
1000053598,6.6
1000053618,6.8
1000053620,6.8
1000053640,5.7
1000053651,4.2
1000053672,7.1
1000053678,5.6
1000053682,8.1
1000053823,6.7
1000054106,5.9
1000054405,5.3
1000054446,7.7
1000054466,7.6
1000054510,6.3
1000054532,6.3
1000054593,6.5
1000054701,4.1
1000054710,6
1000054713,7.8
1000054723,5.1
1000054728,6.4
1000054737,7
1000054751,5
1000054755,6.6
1000054812,7.2
1000054842,4.8
1000054848,7.6
1000055112,5.9
1000055175,6.4
1000055333,6.1
1000055403,6.6
1000055577,7.2
1000055594,6.6
1000055654,6.4
1000055656,6.3
1000055699,5.9
1000055842,7.7
1000055896,7.9
1000055898,5.7
1000055928,5.3
1000055933,3.3
1000055944,7.4
1000055947,5.4
1000056044,6.7
1000056101,7.1
1000056200,6.3
1000056437,4.8
1000056493,6.6
1000056577,4.5
1000056693,6
1000056710,6.1
1000056778,6.8
1000056862,5.1
1000057139,4.7
1000057183,8.7
1000057185,5
1000057199,6.3
1000057435,5.1
1000057502,5.8
1000057594,5.4
1000057938,6.8
1000058036,6.6
1000058120,4.9
1000058163,7.4
1000058175,7.5
1000058341,6
1000058420,5.1
1000058477,7.7
1000058916,5.7
1000059232,7.3
1000059480,4.4
1000059669,5.9
1000059693,6.8
1000059710,6.7
1000059783,6.4
1000059798,5.5
1000059883,7.7
1000059892,7.7
1000059904,4.6
1000059958,6.8
1000059978,5.8
1000059987,6.7
1000060262,7
1000060314,7.1
1000060382,6.9
1000060426,4.8
1000060441,6.5
1000060449,6.8
1000060464,5.5
1000060539,7.7
1000060572,8.5
1000060592,7.9
1000060606,6.9
1000060676,5.5
1000060915,4.3
1000061119,4.8
1000061142,6.2
1000061159,5.6
1000061168,6
1000061347,5.4
1000061355,6.1
1000061432,4.3
1000061441,7.1
1000061474,4.6
1000061485,5
1000061497,6.5
1000061499,5.6
1000061505,7.1
1000061538,7.6
1000061941,6.3
1000061997,7.5
1000062074,7.7
1000062198,5.7
1000062200,6.1
1000062334,7
1000062410,6.3
1000062513,7.3
1000062548,5.9
1000062558,6.6
1000062630,4.3
1000063078,7
1000063154,6.4
1000063251,5.5
1000063389,6.8
1000063451,4.1
1000063467,6.6
1000063488,7.6
1000063637,4.3
1000063653,6.1
1000063882,6.2
1000064032,7.5
1000064061,6.6
1000064132,7.3
1000064383,6.1
1000064443,7.8
1000064446,7.7
1000064482,7.2
1000064522,5.4
1000064540,5.4
1000064555,5.9
1000064563,6.1
1000064591,5.8
1000064638,6.9
1000064655,7.2
1000064726,6.5
1000065234,5.6
1000065551,5.2
1000065640,6.8
1000065733,6.4
1000065782,5.7
1000065830,5.8
1000065834,4.5
1000065940,6.3
1000066130,6.4
1000066285,5.8
1000066337,6.8
1000066422,6.3
1000066699,7
1000066702,5.7
1000066777,6.8
1000066800,6
1000066828,5.8
1000066829,6.1
1000066850,7.1
1000066863,6.2
1000067188,4.5
1000067287,7.8
1000067377,5.1
1000067478,6.1
1000067508,4.3
1000067568,5.6
1000067601,5.5
1000067611,5.5
1000067620,7.4
1000067782,5.8
1000067830,5.2
1000067860,6.3
1000067969,4.4
1000068014,5.6
1000068183,7.6
1000068225,7.4
1000068247,7.4
1000068290,7.1
1000068464,5.5
1000068633,4.7
1000068699,5.1
1000068702,7.4
1000068761,5.8
1000068785,6.7
1000068788,5.7
1000068792,7.2
1000068929,7
1000069053,5.1
1000069067,5.9
1000069312,6.7
1000069401,3.9
1000069450,5.9
1000069517,5.7
1000069553,4.4
1000069856,5.9
1000069965,6.6
1000069971,7.5
1000070001,7.4
1000070017,7.3
1000070022,7
1000070046,6
1000070083,4.9
1000070236,7.5
1000070670,6.9
1000070699,6.7
1000070749,5.6
1000070792,7.1
1000070899,6.6
1000071005,4.5
1000071019,5.2
1000071189,7.1
1000071311,6.2
1000071316,3.8
1000071354,6.1
1000071395,7.6
1000071410,5.1
1000071610,4.5
1000071629,5.2
1000071738,7.9
1000071747,6.5
1000071750,5.7
1000071768,8.8
1000071772,6.8
1000072000,5.8
1000072030,7.4
1000072266,8.3
1000072462,5.5
1000072469,7.7
1000072490,6.5
1000072818,5.9
1000072884,7.1
1000072983,5.7
1000073153,8.1
1000073157,5.1
1000073352,4.2
1000073480,7.2
1000073493,7.2
1000073529,6.8
1000073634,4.9
1000073732,5.5
1000073770,6.6
1000073776,4.1
1000073966,6
1000074151,6
1000074253,4.1
1000074275,7
1000074285,4.7
1000074405,7.3
1000074471,7
1000074495,5.5
1000074561,5.9
1000074564,6.9
1000074775,4.9
1000074821,3.4
1000075064,8.3
1000075147,6.1
1000075223,4
1000075279,6.9
1000075345,6.2
1000075403,7.1
1000075452,5.5
1000075522,6.3
1000075566,6.8
1000075567,7
1000075637,6.1
1000075655,5.8
1000075723,5.2
1000075740,6.1
1000075742,6.4
1000075760,6.3
1000075769,4.3
1000075795,6.6
1000075819,6.8
1000075824,6.9
1000075914,5.5
1000075929,7
1000075976,6.6
1000075985,6.3
1000076013,6.3
1000076035,7.1
1000076075,5.3
1000076127,6.8
1000076185,7.1
1000076200,5.7
1000076262,5.4
1000076293,6.2
1000076324,5.7
1000076335,5.7
1000076342,6.9
1000076383,7.2
1000076387,6.4
1000076398,6.1
1000076431,5
1000076432,6.2
1000076488,3.9
1000076505,4.8
1000076522,6.6
1000076579,6.6
1000076612,5.6
1000076645,8
1000076663,6.8
1000076677,7
1000076707,5.2
1000076750,6.3
1000076781,4.7
1000076875,6.7
1000076976,5.3
1000077082,6.6
1000077097,8.5
1000077229,5.7
1000077268,5.4
1000077307,8.4
1000077355,5.2
1000077465,5.2
1000077509,6.2
1000077527,4.9
1000077560,7.7
1000077628,7.8
1000077673,5.2
1000077846,6.7
1000077987,6.7
1000078124,7.6
1000078184,7.1
1000078414,6.3
1000078580,7.2
1000078800,7.9
1000079205,5.5
1000079220,4.6
1000079260,8.1
1000079282,6.3
1000079311,6.2
1000079340,6.7
1000079352,7.6
1000079360,6.7
1000079366,5.9
1000079441,5.9
1000079624,3.9
1000080084,5.9
1000080126,6.4
1000080378,7.7
1000080408,6
1000080463,4.4
1000080515,5.2
1000080613,6.1
1000080707,6.4
1000080725,4.5
1000080731,7.4
1000080750,4.4
1000080760,7.8
1000080793,4.8
1000080807,7.7
1000080873,7.5
1000080971,7.7
1000080980,6
1000081110,8.1
1000081500,4.6
1000081538,7.2
1000081676,6.7
1000081727,7.9
1000081774,5.7
1000081778,6.4
1000081830,5
1000081845,7.3
1000081927,6.8
1000081931,4.5
1000081966,7.9
1000081998,4.7
1000082020,7.6
1000082189,6.1
1000082306,5.4
1000082558,6.1
1000082863,7
1000082926,3.2
1000082970,7.3
1000083025,5.3
1000083097,8.7
1000083296,8.3
1000083634,6.6
1000083731,7.1
1000083742,7.7
1000083751,5
1000083773,6.8
1000083892,5.5
1000084183,7.1
1000084188,6.9
1000084422,4.9
1000084747,5.1
1000084854,6.3
1000084858,5.7
1000084887,6.7
1000084893,5.4
1000085012,5.6
1000085023,5.1
1000085114,6.8
1000085154,5.5
1000085177,6.2
1000085239,4.3
1000085252,7.4
1000085268,6.7
1000085391,7
1000085857,5.9
1000085880,5.9
1000085884,6.4
1000085947,7.4
1000086048,4.9
1000086139,5.7
1000086244,5
1000086267,6.9
1000086331,7.3
1000086482,6.8
1000086553,7.1
1000086651,7
1000086701,6.7
1000086795,6
1000086927,4.9
1000086938,6.5
1000087184,6.9
1000087239,6.1
1000087329,6.4
1000087342,7.3
1000087445,4.2
1000087487,6.6
1000087501,4.9
1000087507,6.2
1000087546,6.9
1000087584,6.6
1000087643,6.9
1000087796,7.8
1000087820,5.4
1000087953,7.6
1000088035,6.7
1000088108,4.3
1000088128,5.5
1000088201,4.5
1000088230,6.9
1000088303,7.5
1000088479,4.2
1000088505,6.5
1000088624,6.5
1000088670,5.6
1000088722,6.9
1000088764,6.2
1000088800,6.1
1000088899,4.4
1000089059,6.6
1000089139,6.1
1000089429,4.7
1000089492,4.9
1000089495,7.1
1000089652,7.6
1000089688,7.3
1000089715,6.4
1000089729,4.6
1000089780,6.1
1000089808,7.2
1000089855,6.7
1000089919,4.8
1000089934,6.8
1000089952,6.1
1000089978,5.4
1000089993,5.5
1000090007,5.8
1000090090,4.7
1000090157,6.7
1000090185,8
1000090478,5.4
1000090745,6
1000090952,7.2
1000090972,6
1000090990,6.1
1000091081,6.5
1000091207,6.8
1000091214,4.9
1000091230,3.8
1000091328,4.1
1000091393,7.6
1000091402,6.2
1000091495,7
1000091740,7.3
1000091793,5.7
1000091797,6.4
1000091827,6.3
1000091844,7.8
1000091982,6.7
1000092114,7.1
1000092593,8
1000092695,7.5
1000092730,6.2
1000092835,5.6
1000092855,7.1
1000092917,5.6
1000092925,5.7
1000092931,6.4
1000092939,6.7
1000092945,7.7
1000093019,6.6
1000093027,5.6
1000093048,7
1000093068,6.8
1000093135,4.1
1000093167,6.4
1000093190,7.6
1000093218,4.6
1000093256,5.5
1000093262,4.7
1000093475,7.6
1000093515,4.5
1000093595,4.8
1000093835,4.6
1000093951,7.4
1000094070,7
1000094117,6.7
1000094202,7.6
1000094315,5.7
1000094336,5.7
1000094349,6
1000094351,6.9
1000094372,7.4
1000094424,4.3
1000094438,6.7
1000094527,6.1
1000094877,7.4
1000095014,6.7
1000095286,7.3
1000095437,5.4
1000095454,6.4
1000095527,6.6
1000095660,7.5
1000095823,6
1000095852,5.6
1000095872,5.9
1000095923,4.1
1000095926,5.1
1000095971,6.4
1000096101,7.1
1000096124,6.4
1000096153,6.6
1000096155,7.3
1000096163,7.2
1000096189,4.4
1000096192,4.5
1000096199,6
1000096212,7.4
1000096232,3.9
1000096303,4.6
1000096498,7.4
1000096546,5
1000096719,5.5
1000097101,6.1
1000097315,7.3
1000097380,6.2
1000097382,7
1000097524,5
1000097777,5.5
1000097858,5
1000097929,6.1
1000098061,6.6
1000098068,5.5
1000098085,5.6
1000098152,6.2
1000098209,5.6
1000098294,6.8
1000098362,4.9
1000098421,5.2
1000098469,6.9
1000098470,6
1000098533,5.7
1000098702,7.3
1000098771,6.2
1000098796,5.7
1000098840,5.7
1000098927,6.3
1000099309,7.8
1000099356,4.5
1000099502,7
1000099540,7.3
1000099640,4.3
1000099681,5.7
1000099760,5.4
1000099831,5.9
1000099856,5
1000099864,6.8
1000100001,7.1
1000100024,7.9
1000100095,5.9
1000100149,6.3
1000100184,4.8
1000100186,7
1000100187,6
1000100245,4.4
1000100252,6.5
1000100281,6.8
1000100336,5.9
1000100346,6.5
1000100347,4.7
1000100351,6.9
1000100405,6.3
1000100477,8
1000100485,5.1
1000100493,6.6
1000100526,5.2
1000100550,5.7
1000100570,4.2
1000100596,7.1
1000100619,6.1
1000100664,5.9
1000100741,5.5
1000100784,6.2
1000100790,6.8
1000100808,5.6
1000100826,5.7
1000100850,5.6
1000100868,7.4
1000100871,4.6
1000100893,6.6
1000100931,7.2
1000101006,5.8
1000101053,8.6
1000101172,7.3
1000101276,5.7
1000101578,6.8
1000101588,5.4
1000101839,6.6
1000102034,6.5
1000102063,6.2
1000102073,7
1000102148,5.3
1000102244,6.2
1000102301,7.8
1000102562,3.9
1000102622,7.2
1000102664,6.1
1000102670,7.1
1000102977,4.5
1000103040,6.9
1000103055,6.1
1000103111,5.6
1000103266,5.8
1000103523,6.8
1000103648,6.2
1000103664,6.9
1000103763,5.6
1000103915,6.3
1000103934,6
1000104066,7.5
1000104071,6.8
1000104228,4.9
1000104267,7.7
1000104284,7.1
1000104304,6
1000104385,5
1000104391,5.5
1000104400,6.5
1000104479,6.3
1000104517,5
1000104551,5.7
1000104874,6.6
1000104888,5.1
1000104901,5.6
1000104949,6.1
1000105051,6.3
1000105054,6.3
1000105144,6.4
1000105301,7.9
1000105420,8
1000105519,8
1000105595,5.4
1000105597,4.8
1000105635,4.1
1000105652,7.1
1000105672,6
1000105690,7.7
1000105704,5.7
1000106031,6.4
1000106045,7.5
1000106305,7.9
1000106337,6.3
1000106562,7.9
1000106575,4.8
1000106651,7.2
1000106666,5.1
1000106677,6.2
1000106702,6.2
1000106813,7
1000106900,5.4
1000107677,7.8
1000107694,6.2
1000107695,5.1
1000107769,6.3
1000108159,4.5
1000108489,7.3
1000108519,6.4
1000108541,5.3
1000108563,6.5
1000108592,5.9
1000108635,5.4
1000108757,5.2
1000108841,6.7
1000108862,7.3
1000108866,7
1000108952,5.8
1000108988,5
1000109124,6.1
1000109217,5.4
1000109248,7.2
1000109361,7.3
1000109451,5.4
1000109606,6.4
1000110166,6.8
1000110229,4.4
1000110292,6
1000110392,5.9
1000110496,6.1
1000110507,7.7
1000110642,6.1
1000110731,7.5
1000110768,7.1
1000110939,5.9
1000111043,5.5
1000111160,6.8
1000111460,5
1000111464,7
1000111575,5.7
1000111591,6.9
1000111611,7.1
1000111718,7.2
1000112170,8
1000112438,5.8
1000112450,6.9
1000112477,6.2
1000112620,7.4
1000113028,7.9
1000113064,7.3
1000113111,5.9
1000113510,5.1
1000113552,7.1
1000113563,3.6
1000113566,8.6
1000113614,7.6
1000113617,5.4
1000113946,6.3
1000113974,6.7
1000114066,6.3
1000114165,5.6
1000114250,4.6
1000114566,5.3
1000114575,6.8
1000114733,7.6
1000114917,6.9
1000115183,5.3
1000115477,5.7
1000115560,6.5
1000115573,6.2
1000115699,7.5
1000115768,5.2
1000115837,6.5
1000115861,7.4
1000115896,7.2
1000115902,6.4
1000116057,6.2
1000116503,4.9
1000116560,5.5
1000116599,6.1
1000116619,7
1000116674,6.4
1000116675,6.2
1000116713,4.3
1000116835,6.8
1000116993,6.7
1000117192,5.5
1000117200,5.7
1000117287,7.5
1000117297,6.6
1000117360,7.5
1000117636,7.1
1000117942,5
1000118051,4.7
1000118098,4.9
1000118175,6.8
1000118193,8
1000118198,7.2
1000118322,4.9
1000118417,4.5
1000118433,6.9
1000118447,5.9
1000118558,7.1
1000118682,5.8
1000118742,5.4
1000119042,5.5
1000119069,6.7
1000119085,6.3
1000119103,5.7
1000119105,8.1
1000119131,7.5
1000119160,7.6
1000119204,6.2
1000119221,3.2
1000119248,7.1
1000119269,3.1
1000119276,6.8
1000119288,5.7
1000119297,7.2
1000119300,5.5
1000119315,3.8
1000119319,5.7
1000119335,5.7
1000119381,3.9
1000119413,7.5
1000119480,6.3
1000119541,5.6
1000119578,7.3
1000119580,5.6
1000119686,7
1000119762,6
1000120035,6.3
1000120240,7.1
1000120252,7.9
1000120275,5.6
1000120430,4.5
1000120459,4.7
1000120503,6.4
1000120544,6
1000120665,5.7
1000120797,6.7
1000120845,5.7
1000121041,6
1000121081,7.9
1000121118,6
1000121152,4.3
1000121187,6.4
1000121194,5.9
1000121216,5.8
1000121282,6
1000121293,5.8
1000121383,4.7
1000121478,6.4
1000121581,6.3
1000121690,6.7
